Data;ESTOQUE;MAXIMO;MINIMO
03/jan/22;413088;589683;302092
04/jan/22;413109;589683;302092
05/jan/22;413110;589683;302092
06/jan/22;413104;589683;302092
07/jan/22;413108;589683;302092
10/jan/22;413080;589683;302092
11/jan/22;413088;589683;302092
12/jan/22;413103;589683;302092
13/jan/22;413104;589683;302092
14/jan/22;413095;589683;302092
17/jan/22;413099;589683;302092
18/jan/22;413102;589683;302092
19/jan/22;413110;589683;302092
21/jan/22;413113;589683;302092
24/jan/22;413107;589683;302092
25/jan/22;413128;589683;302092
26/jan/22;413144;589683;302092
27/jan/22;413153;589683;302092
28/jan/22;413158;589683;302092
31/jan/22;413174;589683;302092
01/fev/22;413186;589683;302092
02/fev/22;413183;589683;302092
03/fev/22;413183;589683;302092
04/fev/22;413182;589683;302092
07/fev/22;413180;589683;302092
08/fev/22;413164;589683;302092
09/fev/22;413149;589683;302092
10/fev/22;413148;589683;302092
11/fev/22;413147;589683;302092
14/fev/22;413180;589683;302092
15/fev/22;413184;589683;302092
16/fev/22;413174;589683;302092
17/fev/22;413171;589683;302092
18/fev/22;413168;589683;302092
21/fev/22;413182;589683;302092
22/fev/22;413176;589683;302092
23/fev/22;413161;589683;302092
24/fev/22;413157;589683;302092
25/fev/22;413168;589683;302092
28/fev/22;413194;589683;302092
01/mar/22;413189;589683;302092
02/mar/22;413192;589683;302092
03/mar/22;413209;589683;302092
04/mar/22;413216;589683;302092
07/mar/22;413175;589683;302092
08/mar/22;413201;589683;302092
09/mar/22;413199;589683;302092
10/mar/22;413191;589683;302092
11/mar/22;413183;589683;302092
14/mar/22;413192;589683;302092
15/mar/22;413206;589683;302092
16/mar/22;413197;589683;302092
17/mar/22;413189;589683;302092
18/mar/22;413173;589683;302092
21/mar/22;413160;589683;302092
22/mar/22;413164;589683;302092
23/mar/22;413154;589683;302092
24/mar/22;413142;589683;302092
25/mar/22;413138;589683;302092
28/mar/22;413141;589683;302092
29/mar/22;413168;589683;302092
30/mar/22;413169;589683;302092
31/mar/22;413170;589683;302092
01/abr/22;413166;589683;302092
04/abr/22;413167;589683;302092
05/abr/22;413181;589683;302092
06/abr/22;413173;589683;302092
07/abr/22;413172;589683;302092
08/abr/22;413139;589683;302092
11/abr/22;413136;589683;302092
12/abr/22;413141;589683;302092
13/abr/22;413141;589683;302092
14/abr/22;413142;589683;302092
18/abr/22;413129;589683;302092
19/abr/22;413128;589683;302092
20/abr/22;413116;589683;302092
22/abr/22;413104;589683;302092
25/abr/22;413083;589683;302092
26/abr/22;413092;589683;302092
27/abr/22;413083;589683;302092
28/abr/22;413091;589683;302092
29/abr/22;413096;589683;302092
02/mai/22;413098;589683;302092
03/mai/22;413115;589683;302092
04/mai/22;413104;589683;302092
05/mai/22;413098;589683;302092
06/mai/22;413088;589683;302092
09/mai/22;413072;589683;302092
10/mai/22;413064;589683;302092
11/mai/22;413049;589683;302092
12/mai/22;413053;589683;302092
13/mai/22;413036;589683;302092
16/mai/22;413024;589683;302092
17/mai/22;413036;589683;302092
18/mai/22;413036;589683;302092
19/mai/22;413026;589683;302092
20/mai/22;413027;589683;302092
23/mai/22;413032;589683;302092
24/mai/22;413058;589683;302092
25/mai/22;413058;589683;302092
26/mai/22;413062;589683;302092
27/mai/22;413053;589683;302092
30/mai/22;413078;589683;302092
31/mai/22;413090;589683;302092
01/jun/22;413084;589683;302092
02/jun/22;413098;589683;302092
03/jun/22;413104;589683;302092
06/jun/22;413074;589683;302092
07/jun/22;413069;589683;302092
08/jun/22;413072;589683;302092
09/jun/22;413065;589683;302092
10/jun/22;413061;589683;302092
13/jun/22;413053;589683;302092
14/jun/22;413037;589683;302092
15/jun/22;413035;589683;302092
16/jun/22;413022;589683;302092
17/jun/22;413020;589683;302092
20/jun/22;413017;589683;302092
21/jun/22;413028;589683;302092
22/jun/22;413036;589683;302092
23/jun/22;413048;589683;302092
27/jun/22;413080;589683;302092
28/jun/22;413062;589683;302092
29/jun/22;413067;589683;302092
30/jun/22;413067;589683;302092
01/jul/22;413077;589683;302092
04/jul/22;413094;589683;302092
05/jul/22;413096;589683;302092
06/jul/22;413091;589683;302092
07/jul/22;413082;589683;302092
08/jul/22;413062;589683;302092
11/jul/22;413045;589683;302092
12/jul/22;413039;589683;302092
13/jul/22;413028;589683;302092
14/jul/22;413025;589683;302092
15/jul/22;413021;589683;302092
18/jul/22;413025;589683;302092
19/jul/22;413022;589683;302092
20/jul/22;413003;589683;302092
21/jul/22;412996;589683;302092
22/jul/22;412988;589683;302092
25/jul/22;412986;589683;302092
26/jul/22;412991;589683;302092
27/jul/22;412977;589683;302092
28/jul/22;412974;589683;302092
29/jul/22;412967;589683;302092
01/ago/22;412960;589683;302092
02/ago/22;412977;589683;302092
03/ago/22;412989;589683;302092
04/ago/22;412989;589683;302092
05/ago/22;412989;589683;302092
08/ago/22;412965;589683;302092
09/ago/22;412963;589683;302092
10/ago/22;412966;589683;302092
11/ago/22;412978;589683;302092
12/ago/22;412982;589683;302092
15/ago/22;412970;589683;302092
16/ago/22;412981;589683;302092
17/ago/22;412988;589683;302092
18/ago/22;412992;589683;302092
19/ago/22;412991;589683;302092
22/ago/22;413010;589683;302092
23/ago/22;413023;589683;302092
24/ago/22;413032;589683;302092
25/ago/22;413032;589683;302092
26/ago/22;413038;589683;302092
29/ago/22;413057;589683;302092
30/ago/22;413071;589683;302092
31/ago/22;413069;589683;302092
01/set/22;413082;589683;302092
02/set/22;413092;589683;302092
05/set/22;413077;589683;302092
06/set/22;413072;589683;302092
08/set/22;413069;589683;302092
09/set/22;413053;589683;302092
12/set/22;413054;589683;302092
13/set/22;413052;589683;302092
14/set/22;413052;589683;302092
15/set/22;413059;589683;302092
16/set/22;413054;589683;302092
19/set/22;413051;589683;302092
20/set/22;413056;589683;302092
21/set/22;413056;589683;302092
22/set/22;413062;589683;302092
23/set/22;413057;589683;302092
26/set/22;413072;589683;302092
27/set/22;413078;589683;302092
28/set/22;413067;589683;302092
29/set/22;413065;589683;302092
30/set/22;413067;589683;302092
03/out/22;413088;589683;302092
